Recording timestamp,Project name,Export date,Participant name,Recording name,Recording date,Event,Event value
200613,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Question Slide
200613,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1003_DFA_ANG_XX
205065,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusEnd,1003_DFA_ANG_XX
205065,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Question Slide
207272,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,2
207437,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Question Slide
207437,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1031_DFA_SAD_XX
210903,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusEnd,1031_DFA_SAD_XX
210903,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Question Slide
212416,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,3
212569,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Question Slide
212569,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1048_DFA_NEU_XX
215915,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusEnd,1048_DFA_NEU_XX
215915,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Question Slide
216216,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,3
216314,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Question Slide
216314,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1060_ITH_HAP_XX
220047,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusEnd,1060_ITH_HAP_XX
220047,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Question Slide
220621,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,1
220766,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Question Slide
220766,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1060_DFA_DIS_XX
223685,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusEnd,1060_DFA_DIS_XX
223685,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Question Slide
226997,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,5
227138,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Question Slide
227138,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1001_ITH_DIS_XX
230403,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusEnd,1001_ITH_DIS_XX
230403,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Question Slide
244350,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,3
244505,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Question Slide
244505,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1060_DFA_FEA_XX
247784,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusEnd,1060_DFA_FEA_XX
247784,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Question Slide
248807,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,KeyboardEvent,3
248971,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusEnd,Question Slide
248971,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusStart,1001_ITH_ANG_XX
252342,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,VideoStimulusEnd,1001_ITH_ANG_XX
252342,EyeTrackingExperiment,07/01/2019 11:38:57,Tester6,TestRandom6,06/25/2019 19:55:26,ImageStimulusStart,Question Slide
